#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,pass,"standard unix pass manager"
,passmenu,"dmenu for pass"
GG,https://github.com/SherllyNeo/suckless_mental_trainer,"Suckless mental trainer"
GG,https://github.com/SherllyNeo/cmail_cli_app,"simple email app"
GG,https://github.com/SherllyNeo/better_task_manager,"better task manager"
GG,https://github.com/SherllyNeo/better_address_book,"better address book"
GG,https://github.com/SherllyNeo/flashcard-cli,"flashcard app"
GG,https://github.com/SherllyNeo/facts_to_know.git,"things I have memorised in the past"
GG,https://github.com/SherllyNeo/memory_stuff.git,"memory things"
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,polkit,"manages user policies."
,ttf-linux-libertine,"provides the sans and serif fonts for JARS."
,ttf-font-awesome,"provides extended glyph support."
,bc,"is used for a dropdown calculator."
,xcompmgr,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
,arandr,"allows the user to customize monitor arrangements."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,ffmpegthumbnailer,"creates thumbnail previews of video files."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in JARS."
,python-qdarkstyle,"provides a dark Qt theme."
,neovim,"a tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
A,librewolf-bin,"the default browser of JARS which also comes with ad-blocking and other sensible and necessary features by default."
A,firefox-esr,"Firefox, a useful second browser for drm"
,noto-fonts,"is an expansive font package."
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,wireplumber,"is the audio system."
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
,pulsemixer,"is an audio controller."
,pamixer,"is a command-line audio interface."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
A,flameshot,"can take quick screenshots at your request. Replacement for maim"
A,abook,"is an offline addressbook usable by neomutt."
,unclutter,"hides an inactive mouse."
,unzip,"unzips zips."
,lynx,"is a terminal browser."
,xcape,"gives the special escape/super mappings of JARS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,bat,"can highlight code output and display files."
,xorg-xbacklight,"enables changing screen brightness levels."
A,zsh-fast-syntax-highlighting-git,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
G,https://github.com/sherllyneo/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/sherllyneo/st.git,"is my custom build of suckless's terminal emulator."
G,https://github.com/sherllyneo/dwm.git,"alternate windows manager - my fork of LARBs windows manager"
G,https://github.com/sherllyneo/dwmblocks.git,"statusbar for dwm"
,neomutt,"A lightweight email client"
A,fzf,"fuzzy finder"
A,oath-toolkit,"Open authentication"
A,zbar,"bar code and qrcode reader"
,slock,"allows you to lock your computer, and quickly unlock with your password."
,socat,"is a utility which establishes two byte streams and transfers data between them."
,moreutils,"is a collection of useful unix tools."
A,cava,"audio viewer"
A,gcal,"a gnu calander"
A,xfe,"A file explorer"
,bashtop,"system manager"
,signal-desktop,"private messenger app"
,calcurse,"to do list and calendar"
